road_id,road_index,lat,lon
br-277,47,-25.1210778,-53.8060575
br-277,48,-25.12473232867748,-53.81622027721164
br-277,49,-25.124774657354962,-53.81649625442328
br-277,50,-25.124822638150025,-53.816771300013095
br-277,51,-25.124879370316798,-53.81704445534013
br-277,52,-25.1249503,-53.8173145
br-277,53,-25.125172,-53.8172511
br-277,54,-25.12507636098857,-53.81698945967535
br-277,55,-25.12498072197714,-53.816727819350696
br-277,56,-25.124883888549576,-53.816466619012004
br-277,57,-25.12478694427479,-53.816205459506
br-277,58,-25.1261113,-53.8198809
br-277,59,-25.126195032272587,-53.82010660352742
br-277,60,-25.126278764545177,-53.82033230705484
br-277,61,-25.126362496817762,-53.82055801058226
br-277,62,-25.126446229090348,-53.82078371410968
br-277,63,-25.126529961362934,-53.8210094176371
br-277,64,-25.126615252101576,-53.82123446834415
br-277,65,-25.126717380287516,-53.821452466072124
br-277,66,-25.126819508473453,-53.82167046380009
br-277,67,-25.12693316370461,-53.82188256703729
br-277,68,-25.12705274139198,-53.822091390873766
br-277,69,-25.12718537069599,-53.82229229543688
br-277,70,-25.127318,-53.8224932
br-277,71,-25.12602812398476,-53.819642722459655
br-277,72,-25.12594550766864,-53.8194043514995
br-277,73,-25.12586388075148,-53.819165638624625
br-277,74,-25.12578225383432,-53.81892692574975
br-277,75,-25.125700626917162,-53.818688212874875
br-277,76,-25.125619,-53.8184495
br-277,77,-25.12550725,-53.8181499
br-277,78,-25.1253955,-53.8178503
br-277,79,-25.12528375,-53.8175507
br-277,80,-25.125055,-53.817604466666666
br-277,81,-25.125159699999998,-53.817894433333336
br-277,82,-25.1252644,-53.8181844
br-277,83,-25.1254664,-53.8187651
br-277,84,-25.12555681180166,-53.81900774631838
br-277,85,-25.125681554102183,-53.81923390865583
br-277,86,-25.125834600477226,-53.819442840634316
br-277,87,-25.12597407959309,-53.819661152816195
br-277,88,-25.1073992,-53.7541617
br-277,89,-25.107384119986342,-53.75439709004989
br-277,90,-25.107369039972685,-53.75463248009978
br-277,91,-25.107353959959028,-53.754867870149674
br-277,92,-25.10733887994537,-53.75510326019957
br-277,93,-25.107323799931713,-53.755338650249456
br-277,94,-25.107308719918056,-53.75557404029935
br-277,95,-25.107293639904398,-53.75580943034924
br-277,96,-25.10727855989074,-53.75604482039913
br-277,97,-25.107263479877084,-53.75628021044903
br-277,98,-25.107248399863426,-53.756515600498915
br-277,99,-25.107233799373944,-53.756751020690416
br-277,100,-25.107219285177667,-53.756986446306065
br-277,101,-25.10720477098139,-53.75722187192172
br-277,102,-25.10719025678511,-53.75745729753738
br-277,103,-25.107175742588833,-53.757692723153035
br-277,104,-25.107161228392556,-53.757928148768684
br-277,105,-25.107146714196276,-53.75816357438434
br-277,106,-25.1071322,-53.758399
br-277,107,-25.107413371564416,-53.75395004245165
br-277,108,-25.10742754312883,-53.75373838490329
br-277,109,-25.107441714693245,-53.753526727354945
br-277,110,-25.107455886257657,-53.7533150698066
br-277,111,-25.107470057822074,-53.75310341225824
br-277,112,-25.10748422938649,-53.75289175470989
br-277,113,-25.107498400950902,-53.752680097161544
br-277,114,-25.10751257251532,-53.75246843961319
br-277,115,-25.107526744079735,-53.75225678206484
br-277,116,-25.107540857100012,-53.7520451207225
br-277,117,-25.107554122567876,-53.75183340445393
br-277,118,-25.10756738803574,-53.751621688185374
br-277,119,-25.107580653503604,-53.75140997191681
br-277,120,-25.10759391897147,-53.75119825564825
br-277,121,-25.107607184439335,-53.75098653937968
br-277,122,-25.1076204499072,-53.75077482311112
br-277,123,-25.107633715375062,-53.750563106842556
br-277,124,-25.10764698084293,-53.750351390574
br-277,125,-25.107660246310793,-53.75013967430543
br-277,126,-25.107673511778657,-53.74992795803687
br-277,127,-25.10768677724652,-53.749716241768304
