road_id,order,lat,lon
br-376,127,-25.951991049573838,-48.90359985371204
br-376,128,-25.952135988031426,-48.90345562628105
br-376,129,-25.952280926489014,-48.903311398850065
br-376,130,-25.9524258649466,-48.90316717141908
br-376,131,-25.95257080340419,-48.9030229439881
br-376,132,-25.952715741861777,-48.90287871655711
br-376,133,-25.952860680319365,-48.902734489126125
br-376,134,-25.953005618776952,-48.90259026169514
br-376,135,-25.95315055723454,-48.90244603426416
br-376,136,-25.953295495692128,-48.90230180683317
br-376,137,-25.953440434149716,-48.902157579402186
br-376,138,-25.953585372607304,-48.9020133519712
br-376,139,-25.953732368524538,-48.90187125662221
br-376,140,-25.953883786285466,-48.90173395881449
br-376,141,-25.954043826222776,-48.90160691250582
br-376,142,-25.954212483085655,-48.901491311593446
br-376,143,-25.954385630573764,-48.90138256446408
br-376,144,-25.954563841916368,-48.90128242187427
br-376,145,-25.95474995980015,-48.9011977528618
br-376,146,-25.954939352210285,-48.901120827090466
br-376,147,-25.95513304883376,-48.901055705966236
br-376,148,-25.95533139165666,-48.90100683041527
br-376,149,-25.955533049761737,-48.90097359260168
br-376,150,-25.955736217992463,-48.900951525721844
br-376,151,-25.955940410463214,-48.900943857888265
br-376,152,-25.956144879889504,-48.90094287704745
br-376,153,-25.956349349315797,-48.90094189620663
br-376,154,-25.956553818742087,-48.90094091536581
br-376,155,-25.956758289043552,-48.90094031466867
br-376,156,-25.95696276081859,-48.90094035403558
br-376,157,-25.957167232593626,-48.9009403934025
br-376,158,-25.957371704368665,-48.90094043276942
br-376,159,-25.9575761761437,-48.900940472136334
br-376,160,-25.9577806476529,-48.90094067860209
br-376,161,-25.957985118518177,-48.90094128982149
br-376,162,-25.958189589383455,-48.90094190104089
br-376,163,-25.958394059465217,-48.90094168892412
br-376,164,-25.958598528796834,-48.90094068854237
br-376,165,-25.958802852563444,-48.90093634625948
br-376,166,-25.959006040204734,-48.900914740671176
br-376,167,-25.959206598354438,-48.90087598336832
br-376,168,-25.959401404704685,-48.90081456982471
br-376,169,-25.95958873436108,-48.9007330800605
br-376,170,-25.95976489314727,-48.900629865866996
br-376,171,-25.95992848328837,-48.90050789947561
br-376,172,-25.960080196776882,-48.900371046496204
br-376,173,-25.960219630803977,-48.900221800045216
br-376,174,-25.960350885206573,-48.90006506166338
br-376,175,-25.960475408382674,-48.89990288063197
br-376,176,-25.960599931558775,-48.89974069960056
br-376,177,-25.960724454734876,-48.89957851856914
br-376,178,-25.960848977910977,-48.89941633753773
br-376,179,-25.96097350108708,-48.899254156506316
br-376,180,-25.96110418361597,-48.89909702631556
br-376,181,-25.961243421142917,-48.89894744016127
br-376,182,-25.961391829683325,-48.89880711538028
br-376,183,-25.96155121311367,-48.898679056600685
br-376,184,-25.96171927356598,-48.89856259032786
br-376,185,-25.961894476679756,-48.89845752101766
br-376,186,-25.962080469902507,-48.898373249597036
br-376,187,-25.96227172885901,-48.89830110657631
br-376,188,-25.962464476317262,-48.89823287450729
br-376,189,-25.96265792798448,-48.898166653960736
br-376,190,-25.9628513796517,-48.89810043341417
br-376,191,-25.963045582716365,-48.89803650190245
br-376,192,-25.963240645344072,-48.89797518893801
br-376,193,-25.96343570797178,-48.897913875973565
br-376,194,-25.963630770599483,-48.897852563009124
br-376,195,-25.96382583322719,-48.897791250044676
br-376,196,-25.9640191637794,-48.89772469251104
br-376,197,-25.96421130595743,-48.89765486185228
br-376,198,-25.964401590892283,-48.89758008430512
