geometry,road_id
POINT (-47.8725622 -22.0263803),sao_carlos
POINT (-47.8726438 -22.0263803),sao_carlos
POINT (-47.8727668 -22.0263686),sao_carlos
POINT (-47.8728887 -22.026345),sao_carlos
POINT (-47.8717557 -22.027208),sao_carlos
POINT (-47.8716477 -22.027198),sao_carlos
POINT (-47.871558 -22.0271842),sao_carlos
POINT (-47.8714595 -22.0271529),sao_carlos
POINT (-47.8713792 -22.0271089),sao_carlos
POINT (-47.8713055 -22.0270457),sao_carlos
POINT (-47.871236 -22.0269838),sao_carlos
POINT (-47.8711945 -22.0269372),sao_carlos
POINT (-47.8711625 -22.0268965),sao_carlos
POINT (-47.8716166 -22.0272937),sao_carlos
POINT (-47.8715058 -22.027354),sao_carlos
POINT (-47.8713917 -22.0274926),sao_carlos
POINT (-47.8713562 -22.0275773),sao_carlos
POINT (-47.8713398 -22.02767),sao_carlos
POINT (-47.8713544 -22.0279944),sao_carlos
POINT (-47.8720608 -22.0270925),sao_carlos
POINT (-47.8719372 -22.0271483),sao_carlos
POINT (-47.8718558 -22.0271813),sao_carlos
POINT (-47.8720915 -22.02714),sao_carlos
POINT (-47.8725731 -22.0277776),sao_carlos
POINT (-47.8599099 -22.0366892),sao_carlos
POINT (-47.8599454 -22.0366017),sao_carlos
POINT (-47.8600417 -22.0364838),sao_carlos
POINT (-47.8601252 -22.036435),sao_carlos
POINT (-47.860213 -22.0364228),sao_carlos
POINT (-47.8603311 -22.0364169),sao_carlos
POINT (-47.8604255 -22.0364543),sao_carlos
POINT (-47.8605229 -22.0365715),sao_carlos
POINT (-47.8605719 -22.0366717),sao_carlos
POINT (-47.860581 -22.0367814),sao_carlos
POINT (-47.860506 -22.0364801),sao_carlos
POINT (-47.8605546 -22.0364937),sao_carlos
POINT (-47.8606224 -22.0364987),sao_carlos
POINT (-47.8606739 -22.0365001),sao_carlos
POINT (-47.8607309 -22.0364794),sao_carlos
POINT (-47.8612339 -22.0362611),sao_carlos
POINT (-47.8615278 -22.036141),sao_carlos
POINT (-47.8615899 -22.036106),sao_carlos
POINT (-47.8616743 -22.0360131),sao_carlos
